"segment_filename","basefile","age","gender","source","duration","race_ethnicity","wordcount","clean_google_wer","clean_ibm_wer","clean_amazon_wer","clean_msft_wer","clean_apple_wer"
"HUM_1_22","HUM_1",30,"male","HUM",33.4469999999999,"White",106,0.198113208,0.132075472,0.169811321,0.179245283,0.216981132
"HUM_1_23","HUM_1",30,"male","HUM",7.3760000000002,"White",31,0.129032258,0.193548387,0.096774194,0.129032258,0.193548387
"HUM_1_24","HUM_1",30,"male","HUM",9.798,"White",33,0.393939394,0.333333333,0.424242424,0.272727273,0.545454545
"HUM_1_25","HUM_1",30,"male","HUM",35.2049999999999,"White",159,0.257861635,0.27672956,0.264150943,0.220125786,0.264150943
"HUM_1_26","HUM_1",30,"male","HUM",36.9870000000001,"White",145,0.324137931,0.213793103,0.117241379,0.151724138,0.337931034
"HUM_1_27","HUM_1",30,"male","HUM",24.3099999999999,"White",103,0.300970874,0.281553398,0.145631068,0.194174757,0.310679612
"HUM_1_28","HUM_1",30,"male","HUM",15.3079999999995,"White",62,0.290322581,0.387096774,0.258064516,0.241935484,0.370967742
"HUM_1_29","HUM_1",30,"male","HUM",34.6690000000003,"White",130,0.5,0.207692308,0.169230769,0.115384615,0.223076923
"HUM_1_30","HUM_1",30,"male","HUM",30.395,"White",131,0.374045802,0.183206107,0.152671756,0.160305344,0.236641221
"HUM_1_31","HUM_1",30,"male","HUM",22.6300000000001,"White",117,0.35042735,0.273504274,0.205128205,0.179487179,0.401709402
"HUM_1_32","HUM_1",30,"male","HUM",44.5500000000002,"White",168,0.196428571,0.19047619,0.172619048,0.196428571,0.226190476
"HUM_1_33","HUM_1",30,"male","HUM",11.8090000000002,"White",46,0.260869565,0.217391304,0.260869565,0.152173913,0.326086957
"HUM_2_1","HUM_2",53,"female","HUM",7.538,"White",11,0.454545455,0.727272727,0.545454545,0.363636364,0.727272727
"HUM_2_2","HUM_2",53,"female","HUM",19.41,"White",18,0.388888889,0.666666667,0.444444444,0.222222222,0.388888889
"HUM_2_3","HUM_2",53,"female","HUM",16.624,"White",18,0.222222222,0.277777778,0.111111111,0.222222222,0.222222222
"HUM_2_4","HUM_2",53,"female","HUM",6.072,"White",11,0.090909091,0.545454545,0.181818182,0,0
"HUM_2_5","HUM_2",53,"female","HUM",9.71000000000001,"White",14,0,0.214285714,0,0,0.071428571
"HUM_2_6","HUM_2",53,"female","HUM",41.67,"White",42,0.047619048,0.261904762,0.333333333,0.095238095,0.142857143
"HUM_2_7","HUM_2",53,"female","HUM",17.42,"White",26,0.192307692,0.192307692,0.192307692,0.269230769,0.269230769
"HUM_2_8","HUM_2",53,"female","HUM",5.97200000000001,"White",22,0.363636364,0.318181818,0.227272727,0.227272727,0.363636364
"HUM_2_9","HUM_2",53,"female","HUM",5.30199999999996,"White",7,0.714285714,0.571428571,0.714285714,0.714285714,1.142857143
"HUM_2_10","HUM_2",53,"female","HUM",21.6590000000001,"White",56,0.303571429,0.285714286,0.142857143,0.214285714,0.267857143
"HUM_2_11","HUM_2",53,"female","HUM",6.166,"White",18,0.111111111,0.111111111,0.111111111,0.111111111,0.166666667
"HUM_2_12","HUM_2",53,"female","HUM",5.255,"White",16,0.375,0.125,0.125,0.25,0.4375
"HUM_2_13","HUM_2",53,"female","HUM",23.929,"White",99,0.181818182,0.161616162,0.131313131,0.090909091,0.141414141
"HUM_2_14","HUM_2",53,"female","HUM",7.92199999999997,"White",40,0.225,0.25,0.2,0.15,0.35
"HUM_2_15","HUM_2",53,"female","HUM",10.345,"White",42,0.095238095,0.19047619,0.071428571,0.095238095,0.214285714
"HUM_2_16","HUM_2",53,"female","HUM",5.65199999999993,"White",23,0.086956522,0.217391304,0.217391304,0.173913043,0.130434783
"HUM_2_17","HUM_2",53,"female","HUM",24.6,"White",100,0.16,0.12,0.06,0.07,0.24
"HUM_2_18","HUM_2",53,"female","HUM",5.01999999999998,"White",27,0.148148148,0.111111111,0.148148148,0.111111111,0.111111111
"HUM_2_19","HUM_2",53,"female","HUM",24.298,"White",88,0.272727273,0.238636364,0.125,0.170454545,0.272727273
"HUM_2_20","HUM_2",53,"female","HUM",6.43999999999994,"White",23,0.304347826,0.130434783,0.130434783,0.173913043,0.173913043
"HUM_2_21","HUM_2",53,"female","HUM",7.548,"White",30,0.1,0.1,0.066666667,0.1,0.166666667
"HUM_2_22","HUM_2",53,"female","HUM",5.12399999999991,"White",19,0,0.105263158,0,0,0.315789474
"HUM_2_23","HUM_2",53,"female","HUM",9.25,"White",42,0.19047619,0.214285714,0.119047619,0.261904762,0.238095238
"HUM_3_1","HUM_3",87,"female","HUM",11.385,"White",15,0.133333333,0.4,0.066666667,0.133333333,0.2
"HUM_3_2","HUM_3",87,"female","HUM",6.55499999999999,"White",19,0.315789474,0.263157895,0.368421053,0.210526316,0.263157895
"HUM_3_3","HUM_3",87,"female","HUM",5.455,"White",13,0.230769231,0.153846154,0.153846154,0.307692308,0.384615385
"HUM_3_4","HUM_3",87,"female","HUM",23.102,"White",19,0.315789474,0.473684211,0.315789474,0.105263158,0.473684211
"HUM_3_5","HUM_3",87,"female","HUM",9.88099999999997,"White",17,0.176470588,0.235294118,0.176470588,0.176470588,0.235294118
"HUM_3_6","HUM_3",87,"female","HUM",7.73200000000003,"White",19,0.105263158,0.157894737,0.105263158,0.052631579,0.105263158
"HUM_3_7","HUM_3",87,"female","HUM",15.933,"White",35,0.457142857,0.457142857,0.342857143,0.342857143,0.371428571
"HUM_3_8","HUM_3",87,"female","HUM",18.2619999999999,"White",48,0.145833333,0.229166667,0.125,0.145833333,0.166666667
"HUM_3_9","HUM_3",87,"female","HUM",5.08100000000002,"White",22,0.090909091,0.136363636,0.090909091,0,0.136363636
"HUM_3_10","HUM_3",87,"female","HUM",5.42800000000005,"White",18,0.333333333,0.333333333,0.222222222,0.444444444,0.333333333
"HUM_3_11","HUM_3",87,"female","HUM",5.22899999999993,"White",27,0.074074074,0.148148148,0.074074074,0.111111111,0.185185185
"HUM_3_12","HUM_3",87,"female","HUM",7.88199999999995,"White",28,0.035714286,0.035714286,0.071428571,0.035714286,0
"HUM_3_13","HUM_3",87,"female","HUM",10.034,"White",39,0.102564103,0.102564103,0.076923077,0.153846154,0.102564103
"HUM_3_14","HUM_3",87,"female","HUM",6.38499999999999,"White",32,0.15625,0.1875,0.25,0.0625,0.125
"HUM_3_15","HUM_3",87,"female","HUM",9.12700000000007,"White",26,0.230769231,0.230769231,0.230769231,0.384615385,0.423076923
"HUM_3_16","HUM_3",87,"female","HUM",8.56499999999994,"White",30,0.3,0.166666667,0.233333333,0.233333333,0.333333333
"HUM_3_17","HUM_3",87,"female","HUM",5.82800000000009,"White",23,0.304347826,0.217391304,0.434782609,0.304347826,0.434782609
"HUM_3_18","HUM_3",87,"female","HUM",12.199,"White",31,0.258064516,0.387096774,0.290322581,0.35483871,0.322580645
"HUM_3_19","HUM_3",87,"female","HUM",7.66399999999987,"White",22,0.363636364,0.363636364,0.318181818,0.181818182,0.409090909
"HUM_3_20","HUM_3",87,"female","HUM",16.9119999999999,"White",70,0.257142857,0.3,0.242857143,0.257142857,0.314285714
"HUM_3_21","HUM_3",87,"female","HUM",8.78100000000006,"White",15,0.133333333,0.333333333,0.2,0.2,0.2
"HUM_3_22","HUM_3",87,"female","HUM",8.29999999999995,"White",24,0.125,0.166666667,0.083333333,0.125,0.125
"HUM_3_23","HUM_3",87,"female","HUM",9.68799999999999,"White",34,0.058823529,0.235294118,0.029411765,0.117647059,0.176470588
"HUM_3_24","HUM_3",87,"female","HUM",6.89300000000003,"White",24,0.333333333,0.125,0.291666667,0.291666667,0.25
"HUM_3_25","HUM_3",87,"female","HUM",15.1080000000001,"White",36,0.083333333,0.138888889,0.166666667,0.083333333,0.222222222
"HUM_3_26","HUM_3",87,"female","HUM",7.72399999999993,"White",11,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091
"HUM_3_27","HUM_3",87,"female","HUM",12.4349999999999,"White",21,0.952380952,0.904761905,0.80952381,0.857142857,0.904761905
"HUM_3_28","HUM_3",87,"female","HUM",7.06899999999996,"White",21,0.285714286,0.095238095,0.19047619,0.142857143,0.19047619
"HUM_3_29","HUM_3",87,"female","HUM",7.07500000000005,"White",19,0,0,0,0.105263158,0.105263158
"HUM_3_30","HUM_3",87,"female","HUM",8.86799999999994,"White",29,0.310344828,0.344827586,0.103448276,0.137931034,0.275862069
"HUM_3_31","HUM_3",87,"female","HUM",5.33200000000011,"White",14,0.214285714,0,0.071428571,0,0
"HUM_3_32","HUM_3",87,"female","HUM",25.2919999999999,"White",64,0.203125,0.21875,0.171875,0.203125,0.234375
"HUM_3_33","HUM_3",87,"female","HUM",32.6279999999999,"White",96,0.166666667,0.145833333,0.135416667,0.15625,0.177083333
"HUM_3_34","HUM_3",87,"female","HUM",13.28,"White",25,0,0.24,0.12,0.08,0.36
"HUM_3_35","HUM_3",87,"female","HUM",9.88400000000002,"White",36,0.166666667,0.138888889,0.138888889,0.111111111,0.138888889
"HUM_3_36","HUM_3",87,"female","HUM",13.7220000000002,"White",42,0.119047619,0.047619048,0,0,0.071428571
"HUM_3_37","HUM_3",87,"female","HUM",8.44199999999978,"White",27,0.074074074,0.148148148,0.185185185,0.148148148,0.111111111
"HUM_3_38","HUM_3",87,"female","HUM",9.28999999999996,"White",27,0.111111111,0.185185185,0.185185185,0.185185185,0.222222222
"HUM_3_39","HUM_3",87,"female","HUM",27.54,"White",93,0.387096774,0.107526882,0.150537634,0.107526882,0.225806452
"HUM_3_40","HUM_3",87,"female","HUM",6.5179999999998,"White",12,0.333333333,0.166666667,0.333333333,0.25,0.333333333
"HUM_3_41","HUM_3",87,"female","HUM",12.5429999999999,"White",34,0.176470588,0.147058824,0.176470588,0.117647059,0.323529412
"HUM_3_42","HUM_3",87,"female","HUM",11.423,"White",32,0.21875,0.21875,0.0625,0.09375,0.3125
"HUM_3_43","HUM_3",87,"female","HUM",12.155,"White",27,0.148148148,0.222222222,0.185185185,0.222222222,0.259259259
"HUM_3_44","HUM_3",87,"female","HUM",10.867,"White",41,0.12195122,0.097560976,0.097560976,0.073170732,0.170731707
"HUM_3_45","HUM_3",87,"female","HUM",6.51199999999994,"White",15,0.133333333,0.066666667,0.066666667,0.2,0.2
"HUM_3_46","HUM_3",87,"female","HUM",10.5710000000001,"White",22,0,0.136363636,0.090909091,0.090909091,0.318181818
"HUM_3_47","HUM_3",87,"female","HUM",5.29499999999984,"White",14,0,0,0.071428571,0,0.071428571
"HUM_3_48","HUM_3",87,"female","HUM",6.29399999999987,"White",11,0.272727273,0.181818182,0.545454545,0.272727273,0.181818182
"HUM_3_49","HUM_3",87,"female","HUM",6.90499999999997,"White",12,0,0.166666667,0.083333333,0.083333333,0.083333333
"HUM_3_50","HUM_3",87,"female","HUM",24.2099999999998,"White",59,0.220338983,0.152542373,0.13559322,0.13559322,0.220338983
"HUM_3_51","HUM_3",87,"female","HUM",5.08500000000004,"White",12,0.166666667,0.333333333,0.25,0.416666667,0.166666667
"HUM_3_52","HUM_3",87,"female","HUM",13.106,"White",53,0.094339623,0.037735849,0.037735849,0.037735849,0.113207547
"HUM_3_53","HUM_3",87,"female","HUM",15.3429999999998,"White",55,0.127272727,0.145454545,0.127272727,0.163636364,0.145454545
"HUM_3_54","HUM_3",87,"female","HUM",9.89399999999978,"White",37,0.405405405,0.351351351,0.216216216,0.216216216,0.297297297
"HUM_3_55","HUM_3",87,"female","HUM",21.1100000000001,"White",55,0.672727273,0.436363636,0.4,0.309090909,0.418181818
"HUM_3_56","HUM_3",87,"female","HUM",37.8719999999998,"White",121,0.231404959,0.140495868,0.107438017,0.090909091,0.132231405
"HUM_3_57","HUM_3",87,"female","HUM",10.2750000000001,"White",37,0.243243243,0.162162162,0.216216216,0.189189189,0.162162162
"HUM_3_58","HUM_3",87,"female","HUM",17.835,"White",50,0.12,0.12,0.06,0.08,0.22
"HUM_3_59","HUM_3",87,"female","HUM",9.99199999999973,"White",40,0.3,0.35,0.25,0.325,0.425
"HUM_3_60","HUM_3",87,"female","HUM",10.6929999999998,"White",38,0.157894737,0.184210526,0.263157895,0.263157895,0.236842105
"HUM_3_61","HUM_3",87,"female","HUM",7.43000000000029,"White",16,0.0625,0.25,0.0625,0,0.25
"HUM_3_62","HUM_3",87,"female","HUM",6.27599999999984,"White",18,0.111111111,0.111111111,0.055555556,0.055555556,0.055555556
"HUM_3_63","HUM_3",87,"female","HUM",12.0360000000001,"White",27,0.185185185,0.074074074,0.037037037,0.074074074,0.111111111
"HUM_3_64","HUM_3",87,"female","HUM",5.41199999999981,"White",21,0.047619048,0.095238095,0.142857143,0.142857143,0.047619048
"HUM_3_65","HUM_3",87,"female","HUM",5.2800000000002,"White",20,0.4,0.3,0.2,0.25,0.15
"HUM_3_66","HUM_3",87,"female","HUM",6.19699999999966,"White",9,0.444444444,0.555555556,0.444444444,0.111111111,0.555555556
"HUM_3_67","HUM_3",87,"female","HUM",7.89999999999964,"White",27,0.148148148,0.148148148,0.148148148,0.074074074,0.222222222
"HUM_3_68","HUM_3",87,"female","HUM",6.32999999999993,"White",24,0,0.208333333,0.083333333,0.041666667,0.041666667
"HUM_3_69","HUM_3",87,"female","HUM",7.65000000000009,"White",37,0.162162162,0.216216216,0.189189189,0.189189189,0.189189189
"HUM_3_70","HUM_3",87,"female","HUM",7.21000000000004,"White",28,0.107142857,0.107142857,0.035714286,0.071428571,0.107142857
"HUM_3_71","HUM_3",87,"female","HUM",8.36299999999983,"White",30,0.133333333,0.2,0.066666667,0.1,0.233333333
"HUM_3_72","HUM_3",87,"female","HUM",10.6509999999998,"White",31,0.064516129,0.193548387,0.129032258,0.161290323,0.161290323
"HUM_3_73","HUM_3",87,"female","HUM",24,"White",64,0.25,0.140625,0.109375,0.140625,0.28125
"HUM_3_74","HUM_3",87,"female","HUM",11.6999999999998,"White",37,0.432432432,0.405405405,0.216216216,0.189189189,0.378378378
"HUM_3_75","HUM_3",87,"female","HUM",7.77799999999979,"White",30,0.233333333,0.066666667,0.2,0.233333333,0.166666667
"HUM_3_76","HUM_3",87,"female","HUM",5.07799999999998,"White",9,0,0,0,0.111111111,0.222222222
"HUM_3_77","HUM_3",87,"female","HUM",12.4470000000001,"White",22,0.090909091,0.227272727,0.227272727,0.136363636,0.227272727
"HUM_3_78","HUM_3",87,"female","HUM",7.48000000000002,"White",24,0.083333333,0.083333333,0.166666667,0.166666667,0.166666667
"HUM_3_79","HUM_3",87,"female","HUM",11.4450000000002,"White",42,0.69047619,0.547619048,0.30952381,0.285714286,0.571428571
"HUM_3_80","HUM_3",87,"female","HUM",5.34000000000015,"White",14,0.285714286,0.428571429,0.285714286,0.428571429,0.428571429
"HUM_3_81","HUM_3",87,"female","HUM",27.9440000000004,"White",86,0.302325581,0.313953488,0.26744186,0.197674419,0.302325581
"HUM_3_82","HUM_3",87,"female","HUM",5.44599999999991,"White",21,0.380952381,0.19047619,0.142857143,0.333333333,0.238095238
"HUM_3_83","HUM_3",87,"female","HUM",10.1070000000004,"White",32,0.40625,0.40625,0.375,0.40625,0.34375
"HUM_3_84","HUM_3",87,"female","HUM",8.39400000000023,"White",22,0.318181818,0.454545455,0.272727273,0.272727273,0.272727273
"HUM_3_85","HUM_3",87,"female","HUM",18.1779999999999,"White",67,0.164179104,0.179104478,0.208955224,0.134328358,0.253731343
"HUM_3_86","HUM_3",87,"female","HUM",7.62699999999995,"White",20,0.2,0.25,0.15,0.2,0.15
"HUM_3_87","HUM_3",87,"female","HUM",7.85999999999967,"White",25,0.16,0.32,0.28,0.24,0.48
"HUM_3_88","HUM_3",87,"female","HUM",7.69399999999996,"White",25,0.16,0.2,0.12,0.08,0.12
"HUM_3_89","HUM_3",87,"female","HUM",16.558,"White",46,0.217391304,0.304347826,0.239130435,0.173913043,0.282608696
"HUM_3_90","HUM_3",87,"female","HUM",18.8400000000001,"White",70,0.371428571,0.285714286,0.314285714,0.342857143,0.5
"HUM_3_91","HUM_3",87,"female","HUM",8.72099999999955,"White",32,0.1875,0.25,0.1875,0.21875,0.1875
"HUM_3_92","HUM_3",87,"female","HUM",8.80700000000024,"White",31,0.387096774,0.419354839,0.35483871,0.419354839,0.419354839
"HUM_3_93","HUM_3",87,"female","HUM",11.8699999999999,"White",31,0.225806452,0.225806452,0.161290323,0.129032258,0.225806452
"HUM_3_94","HUM_3",87,"female","HUM",8.63000000000011,"White",32,0.09375,0.125,0.0625,0.03125,0.15625
"HUM_3_95","HUM_3",87,"female","HUM",6.82499999999982,"White",25,0.36,0.08,0.16,0.24,0.16
"HUM_3_96","HUM_3",87,"female","HUM",18.902,"White",49,0.204081633,0.183673469,0.183673469,0.183673469,0.224489796
"HUM_3_97","HUM_3",87,"female","HUM",27.384,"White",53,0.264150943,0.169811321,0.245283019,0.226415094,0.283018868
"HUM_3_98","HUM_3",87,"female","HUM",9.97000000000026,"White",35,0.314285714,0.314285714,0.371428571,0.314285714,0.342857143
"HUM_3_99","HUM_3",87,"female","HUM",8.90099999999984,"White",33,0.151515152,0.090909091,0.121212121,0.090909091,0.090909091
"HUM_3_100","HUM_3",87,"female","HUM",5.48199999999997,"White",20,0.25,0.25,0.25,0.25,0.35
"HUM_3_101","HUM_3",87,"female","HUM",8.23000000000002,"White",7,0.714285714,0.714285714,0.571428571,0.428571429,0.714285714
"HUM_3_102","HUM_3",87,"female","HUM",12.6900000000001,"White",28,0.285714286,0.285714286,0.357142857,0.214285714,0.285714286
"HUM_3_103","HUM_3",87,"female","HUM",5.39599999999973,"White",11,0.909090909,0.818181818,0.454545455,0.454545455,0.909090909
"HUM_3_104","HUM_3",87,"female","HUM",27.6320000000005,"White",96,0.21875,0.270833333,0.208333333,0.166666667,0.21875
"HUM_3_105","HUM_3",87,"female","HUM",7.71099999999979,"White",20,0.5,0.35,0.5,0.45,0.5
"HUM_3_106","HUM_3",87,"female","HUM",8.04299999999967,"White",26,0.076923077,0.230769231,0.192307692,0.153846154,0.192307692
"HUM_3_107","HUM_3",87,"female","HUM",7.81200000000035,"White",14,0.5,0.5,0.428571429,0.5,0.428571429
"HUM_3_108","HUM_3",87,"female","HUM",22.9230000000002,"White",59,0.186440678,0.220338983,0.118644068,0.169491525,0.305084746
"HUM_3_109","HUM_3",87,"female","HUM",8.02500000000009,"White",17,0.058823529,0,0.117647059,0.117647059,0.117647059
"HUM_3_110","HUM_3",87,"female","HUM",10.9249999999997,"White",41,0.170731707,0.195121951,0.170731707,0.12195122,0.219512195
"HUM_3_111","HUM_3",87,"female","HUM",6.89000000000033,"White",15,0.133333333,0.066666667,0.066666667,0.066666667,0.066666667
"HUM_3_112","HUM_3",87,"female","HUM",6.36300000000028,"White",27,0.148148148,0.148148148,0.222222222,0.185185185,0.222222222
"HUM_3_113","HUM_3",87,"female","HUM",5.73000000000047,"White",17,0.470588235,0.529411765,0.411764706,0.529411765,0.529411765
"HUM_3_114","HUM_3",87,"female","HUM",9.15299999999934,"White",41,0.43902439,0.268292683,0.219512195,0.195121951,0.487804878
"HUM_3_115","HUM_3",87,"female","HUM",8.94099999999981,"White",32,0.34375,0.28125,0.15625,0.1875,0.28125
"HUM_4_1","HUM_4",88,"male","HUM",5.584,"White",12,0.166666667,0.333333333,0.083333333,0.166666667,0.25
"HUM_4_2","HUM_4",88,"male","HUM",23.462,"White",46,0.043478261,0.108695652,0.108695652,0.086956522,0.086956522
"HUM_4_3","HUM_4",88,"male","HUM",14.888,"White",26,0.115384615,0.230769231,0.115384615,0.192307692,0.115384615
"HUM_4_4","HUM_4",88,"male","HUM",15.118,"White",28,0.25,0.357142857,0.285714286,0.214285714,0.25
"HUM_4_5","HUM_4",88,"male","HUM",5.78900000000002,"White",8,0,0.5,0.25,0.125,0
"HUM_4_6","HUM_4",88,"male","HUM",20.267,"White",28,0.142857143,0.321428571,0.178571429,0.214285714,0.142857143
"HUM_4_7","HUM_4",88,"male","HUM",5.10399999999998,"White",9,0,0,0,0,0.444444444
"HUM_4_8","HUM_4",88,"male","HUM",13.0120000000001,"White",19,0.105263158,0.210526316,0.052631579,0.105263158,0.157894737
"HUM_4_9","HUM_4",88,"male","HUM",9.125,"White",16,0.3125,0.1875,0.25,0.125,0.125
"HUM_4_10","HUM_4",88,"male","HUM",9.798,"White",15,0.133333333,0,0.066666667,1,0.066666667
"HUM_4_11","HUM_4",88,"male","HUM",12.628,"White",21,0.238095238,0.428571429,0.333333333,0.142857143,0.333333333
"HUM_4_12","HUM_4",88,"male","HUM",6.28500000000003,"White",9,0.222222222,0.222222222,0.333333333,0.222222222,0.222222222
"HUM_4_13","HUM_4",88,"male","HUM",14.896,"White",31,0.129032258,0.129032258,0.096774194,0.096774194,0.096774194
"HUM_4_14","HUM_4",88,"male","HUM",6.88200000000001,"White",14,0.071428571,0.142857143,0.214285714,0.214285714,0.071428571
"HUM_4_15","HUM_4",88,"male","HUM",6.81699999999989,"White",14,0,0,0,0,0
"HUM_4_16","HUM_4",88,"male","HUM",9.34000000000003,"White",18,0.111111111,0.111111111,0.111111111,0.166666667,0.166666667
"HUM_4_17","HUM_4",88,"male","HUM",8.65499999999997,"White",24,0.333333333,0.166666667,0.333333333,0.291666667,0.25
"HUM_4_18","HUM_4",88,"male","HUM",19.677,"White",38,0.052631579,0.078947368,0.157894737,0.052631579,0.078947368
"HUM_4_19","HUM_4",88,"male","HUM",13.36,"White",30,0.1,0.133333333,0.1,0.1,0.1
"HUM_4_20","HUM_4",88,"male","HUM",14.9299999999999,"White",25,0.12,0.2,0.12,0.12,0.12
"HUM_4_21","HUM_4",88,"male","HUM",7.62699999999995,"White",15,0.133333333,0.266666667,0.266666667,0.266666667,0.333333333
"HUM_4_22","HUM_4",88,"male","HUM",28.1949999999999,"White",28,0.25,0.392857143,0.285714286,0.285714286,0.357142857
"HUM_4_23","HUM_4",88,"male","HUM",6.77499999999998,"White",15,0,0.266666667,0.4,0.133333333,0.333333333
"HUM_4_24","HUM_4",88,"male","HUM",16.0310000000001,"White",18,0.166666667,0.166666667,0.222222222,0.111111111,0.166666667
"HUM_4_25","HUM_4",88,"male","HUM",15.6650000000001,"White",22,0.318181818,0.136363636,0.227272727,0.272727273,0.363636364
"HUM_4_26","HUM_4",88,"male","HUM",10.246,"White",11,0.181818182,0.272727273,0.363636364,0.181818182,0.090909091
"HUM_4_27","HUM_4",88,"male","HUM",7.8130000000001,"White",7,0.285714286,0.142857143,0.142857143,0.142857143,0.285714286
"HUM_4_28","HUM_4",88,"male","HUM",12.88,"White",21,0.285714286,0.333333333,0.333333333,0.285714286,0.238095238
"HUM_4_29","HUM_4",88,"male","HUM",28.9780000000001,"White",38,0.052631579,0.210526316,0.263157895,0.052631579,0.105263158
"HUM_4_30","HUM_4",88,"male","HUM",10.4450000000001,"White",25,0.08,0.08,0.16,0,0.24
"HUM_4_31","HUM_4",88,"male","HUM",7.43100000000015,"White",17,0.058823529,0.117647059,0,0.058823529,0
"HUM_4_32","HUM_4",88,"male","HUM",21.2070000000001,"White",39,0.128205128,0.076923077,0.102564103,0.076923077,0.153846154
"HUM_4_33","HUM_4",88,"male","HUM",14.9839999999999,"White",34,0.205882353,0.323529412,0.205882353,0.147058824,0.352941176
"HUM_4_34","HUM_4",88,"male","HUM",6.28500000000008,"White",10,0.2,0.3,0.1,0.2,0.3
"HUM_4_35","HUM_4",88,"male","HUM",6.07100000000014,"White",19,0.052631579,0,0,0.157894737,0.105263158
"HUM_4_36","HUM_4",88,"male","HUM",5.47700000000009,"White",12,0,0,0.083333333,0,0
"HUM_4_37","HUM_4",88,"male","HUM",22.2740000000001,"White",36,0.111111111,0.138888889,0.083333333,0.083333333,0.111111111
"HUM_4_38","HUM_4",88,"male","HUM",6.39100000000008,"White",15,0.133333333,0.066666667,0,0,0.133333333
"HUM_4_39","HUM_4",88,"male","HUM",10.5650000000001,"White",13,0.076923077,0.076923077,0.076923077,0,0.076923077
"HUM_4_40","HUM_4",88,"male","HUM",29.463,"White",51,0.039215686,0.156862745,0.078431373,0.058823529,0.058823529
"HUM_4_41","HUM_4",88,"male","HUM",18.7160000000001,"White",43,0.23255814,0.255813953,0.255813953,0.325581395,0.23255814
"HUM_4_42","HUM_4",88,"male","HUM",7.47599999999988,"White",15,0.066666667,0.066666667,0.266666667,0.066666667,0.133333333
"HUM_4_43","HUM_4",88,"male","HUM",20.0730000000001,"White",17,0.117647059,0.294117647,0.235294118,0.058823529,0.176470588
"HUM_4_44","HUM_4",88,"male","HUM",17.4310000000003,"White",21,0.238095238,0.333333333,0.428571429,0.142857143,0.238095238
"HUM_4_45","HUM_4",88,"male","HUM",17.0699999999999,"White",39,0.153846154,0.230769231,0.153846154,0.205128205,0.179487179
"HUM_4_46","HUM_4",88,"male","HUM",12.0879999999997,"White",19,0.157894737,0.052631579,0.157894737,0.105263158,0.105263158
"HUM_4_47","HUM_4",88,"male","HUM",5.72600000000011,"White",13,0.153846154,0.153846154,0.230769231,0.153846154,0.307692308
